date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,last day in month flag,same day year ago,,table insert statement
20080131,31/01/08,4,31,31,Thursday,Thu,y,5,5,28/01/08,20080128,1,1,January,Jan,1,2008,200801,7,3,2008,y,31/01/07,,"insert into Date_Dimension values(20080131, '2008-1-31',4, 31, 31, 'Thursday', 'Thu', 'y', 5, 5, '2008-1-28', 20080128, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'y', '2007-1-31')"
20080201,01/02/08,5,1,32,Friday,Fri,y,5,5,28/01/08,20080128,2,2,February,Feb,1,2008,200802,8,3,2008,n,01/02/07,,"insert into Date_Dimension values(20080201, '2008-2-1',5, 1, 32, 'Friday', 'Fri', 'y', 5, 5, '2008-1-28', 20080128, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-1')"
20080202,02/02/08,6,2,33,Saturday,Sat,n,5,5,28/01/08,20080128,2,2,February,Feb,1,2008,200802,8,3,2008,n,02/02/07,,"insert into Date_Dimension values(20080202, '2008-2-2',6, 2, 33, 'Saturday', 'Sat', 'n', 5, 5, '2008-1-28', 20080128, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-2')"
20080203,03/02/08,7,3,34,Sunday,Sun,n,5,5,28/01/08,20080128,2,2,February,Feb,1,2008,200802,8,3,2008,n,03/02/07,,"insert into Date_Dimension values(20080203, '2008-2-3',7, 3, 34, 'Sunday', 'Sun', 'n', 5, 5, '2008-1-28', 20080128, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-3')"
20080204,04/02/08,1,4,35,Monday,Mon,y,6,6,04/02/08,20080204,2,2,February,Feb,1,2008,200802,8,3,2008,n,04/02/07,,"insert into Date_Dimension values(20080204, '2008-2-4',1, 4, 35, 'Monday', 'Mon', 'y', 6, 6, '2008-2-4', 20080204, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-4')"
20080205,05/02/08,2,5,36,Tuesday,Tue,y,6,6,04/02/08,20080204,2,2,February,Feb,1,2008,200802,8,3,2008,n,05/02/07,,"insert into Date_Dimension values(20080205, '2008-2-5',2, 5, 36, 'Tuesday', 'Tue', 'y', 6, 6, '2008-2-4', 20080204, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-5')"
20080206,06/02/08,3,6,37,Wednesday,Wed,y,6,6,04/02/08,20080204,2,2,February,Feb,1,2008,200802,8,3,2008,n,06/02/07,,"insert into Date_Dimension values(20080206, '2008-2-6',3, 6, 37, 'Wednesday', 'Wed', 'y', 6, 6, '2008-2-4', 20080204, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-6')"
20080207,07/02/08,4,7,38,Thursday,Thu,y,6,6,04/02/08,20080204,2,2,February,Feb,1,2008,200802,8,3,2008,n,07/02/07,,"insert into Date_Dimension values(20080207, '2008-2-7',4, 7, 38, 'Thursday', 'Thu', 'y', 6, 6, '2008-2-4', 20080204, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-7')"
20080208,08/02/08,5,8,39,Friday,Fri,y,6,6,04/02/08,20080204,2,2,February,Feb,1,2008,200802,8,3,2008,n,08/02/07,,"insert into Date_Dimension values(20080208, '2008-2-8',5, 8, 39, 'Friday', 'Fri', 'y', 6, 6, '2008-2-4', 20080204, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-8')"
20080209,09/02/08,6,9,40,Saturday,Sat,n,6,6,04/02/08,20080204,2,2,February,Feb,1,2008,200802,8,3,2008,n,09/02/07,,"insert into Date_Dimension values(20080209, '2008-2-9',6, 9, 40, 'Saturday', 'Sat', 'n', 6, 6, '2008-2-4', 20080204, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-9')"
20080210,10/02/08,7,10,41,Sunday,Sun,n,6,6,04/02/08,20080204,2,2,February,Feb,1,2008,200802,8,3,2008,n,10/02/07,,"insert into Date_Dimension values(20080210, '2008-2-10',7, 10, 41, 'Sunday', 'Sun', 'n', 6, 6, '2008-2-4', 20080204, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-10')"
20080211,11/02/08,1,11,42,Monday,Mon,y,7,7,11/02/08,20080211,2,2,February,Feb,1,2008,200802,8,3,2008,n,11/02/07,,"insert into Date_Dimension values(20080211, '2008-2-11',1, 11, 42, 'Monday', 'Mon', 'y', 7, 7, '2008-2-11', 20080211, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-11')"
20080212,12/02/08,2,12,43,Tuesday,Tue,y,7,7,11/02/08,20080211,2,2,February,Feb,1,2008,200802,8,3,2008,n,12/02/07,,"insert into Date_Dimension values(20080212, '2008-2-12',2, 12, 43, 'Tuesday', 'Tue', 'y', 7, 7, '2008-2-11', 20080211, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-12')"
20080213,13/02/08,3,13,44,Wednesday,Wed,y,7,7,11/02/08,20080211,2,2,February,Feb,1,2008,200802,8,3,2008,n,13/02/07,,"insert into Date_Dimension values(20080213, '2008-2-13',3, 13, 44, 'Wednesday', 'Wed', 'y', 7, 7, '2008-2-11', 20080211, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-13')"
20080214,14/02/08,4,14,45,Thursday,Thu,y,7,7,11/02/08,20080211,2,2,February,Feb,1,2008,200802,8,3,2008,n,14/02/07,,"insert into Date_Dimension values(20080214, '2008-2-14',4, 14, 45, 'Thursday', 'Thu', 'y', 7, 7, '2008-2-11', 20080211, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-14')"
20080215,15/02/08,5,15,46,Friday,Fri,y,7,7,11/02/08,20080211,2,2,February,Feb,1,2008,200802,8,3,2008,n,15/02/07,,"insert into Date_Dimension values(20080215, '2008-2-15',5, 15, 46, 'Friday', 'Fri', 'y', 7, 7, '2008-2-11', 20080211, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-15')"
20080216,16/02/08,6,16,47,Saturday,Sat,n,7,7,11/02/08,20080211,2,2,February,Feb,1,2008,200802,8,3,2008,n,16/02/07,,"insert into Date_Dimension values(20080216, '2008-2-16',6, 16, 47, 'Saturday', 'Sat', 'n', 7, 7, '2008-2-11', 20080211, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-16')"
20080217,17/02/08,7,17,48,Sunday,Sun,n,7,7,11/02/08,20080211,2,2,February,Feb,1,2008,200802,8,3,2008,n,17/02/07,,"insert into Date_Dimension values(20080217, '2008-2-17',7, 17, 48, 'Sunday', 'Sun', 'n', 7, 7, '2008-2-11', 20080211, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-17')"
20080218,18/02/08,1,18,49,Monday,Mon,y,8,8,18/02/08,20080218,2,2,February,Feb,1,2008,200802,8,3,2008,n,18/02/07,,"insert into Date_Dimension values(20080218, '2008-2-18',1, 18, 49, 'Monday', 'Mon', 'y', 8, 8, '2008-2-18', 20080218, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-18')"
20080219,19/02/08,2,19,50,Tuesday,Tue,y,8,8,18/02/08,20080218,2,2,February,Feb,1,2008,200802,8,3,2008,n,19/02/07,,"insert into Date_Dimension values(20080219, '2008-2-19',2, 19, 50, 'Tuesday', 'Tue', 'y', 8, 8, '2008-2-18', 20080218, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-19')"
20080220,20/02/08,3,20,51,Wednesday,Wed,y,8,8,18/02/08,20080218,2,2,February,Feb,1,2008,200802,8,3,2008,n,20/02/07,,"insert into Date_Dimension values(20080220, '2008-2-20',3, 20, 51, 'Wednesday', 'Wed', 'y', 8, 8, '2008-2-18', 20080218, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-20')"
20080221,21/02/08,4,21,52,Thursday,Thu,y,8,8,18/02/08,20080218,2,2,February,Feb,1,2008,200802,8,3,2008,n,21/02/07,,"insert into Date_Dimension values(20080221, '2008-2-21',4, 21, 52, 'Thursday', 'Thu', 'y', 8, 8, '2008-2-18', 20080218, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-21')"
20080222,22/02/08,5,22,53,Friday,Fri,y,8,8,18/02/08,20080218,2,2,February,Feb,1,2008,200802,8,3,2008,n,22/02/07,,"insert into Date_Dimension values(20080222, '2008-2-22',5, 22, 53, 'Friday', 'Fri', 'y', 8, 8, '2008-2-18', 20080218, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-22')"
20080223,23/02/08,6,23,54,Saturday,Sat,n,8,8,18/02/08,20080218,2,2,February,Feb,1,2008,200802,8,3,2008,n,23/02/07,,"insert into Date_Dimension values(20080223, '2008-2-23',6, 23, 54, 'Saturday', 'Sat', 'n', 8, 8, '2008-2-18', 20080218, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-23')"
20080224,24/02/08,7,24,55,Sunday,Sun,n,8,8,18/02/08,20080218,2,2,February,Feb,1,2008,200802,8,3,2008,n,24/02/07,,"insert into Date_Dimension values(20080224, '2008-2-24',7, 24, 55, 'Sunday', 'Sun', 'n', 8, 8, '2008-2-18', 20080218, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-24')"
20080225,25/02/08,1,25,56,Monday,Mon,y,9,9,25/02/08,20080225,2,2,February,Feb,1,2008,200802,8,3,2008,n,25/02/07,,"insert into Date_Dimension values(20080225, '2008-2-25',1, 25, 56, 'Monday', 'Mon', 'y', 9, 9, '2008-2-25', 20080225, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-25')"
20080226,26/02/08,2,26,57,Tuesday,Tue,y,9,9,25/02/08,20080225,2,2,February,Feb,1,2008,200802,8,3,2008,n,26/02/07,,"insert into Date_Dimension values(20080226, '2008-2-26',2, 26, 57, 'Tuesday', 'Tue', 'y', 9, 9, '2008-2-25', 20080225, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-26')"
20080227,27/02/08,3,27,58,Wednesday,Wed,y,9,9,25/02/08,20080225,2,2,February,Feb,1,2008,200802,8,3,2008,n,27/02/07,,"insert into Date_Dimension values(20080227, '2008-2-27',3, 27, 58, 'Wednesday', 'Wed', 'y', 9, 9, '2008-2-25', 20080225, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-27')"
20080228,28/02/08,4,28,59,Thursday,Thu,y,9,9,25/02/08,20080225,2,2,February,Feb,1,2008,200802,8,3,2008,n,28/02/07,,"insert into Date_Dimension values(20080228, '2008-2-28',4, 28, 59, 'Thursday', 'Thu', 'y', 9, 9, '2008-2-25', 20080225, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-28')"
20080229,29/02/08,5,29,60,Friday,Fri,y,9,9,25/02/08,20080225,2,2,February,Feb,1,2008,200802,8,3,2008,y,01/03/07,,"insert into Date_Dimension values(20080229, '2008-2-29',5, 29, 60, 'Friday', 'Fri', 'y', 9, 9, '2008-2-25', 20080225, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'y', '2007-3-1')"
20080301,01/03/08,6,1,61,Saturday,Sat,n,9,9,25/02/08,20080225,3,3,March,Mar,1,2008,200803,9,3,2008,n,01/03/07,,"insert into Date_Dimension values(20080301, '2008-3-1',6, 1, 61, 'Saturday', 'Sat', 'n', 9, 9, '2008-2-25', 20080225, 3, 3, 'March', 'Mar', 1, 2008, 200803, 9, 3, 2008, 'n', '2007-3-1')"
20080302,02/03/08,7,2,62,Sunday,Sun,n,9,9,25/02/08,20080225,3,3,March,Mar,1,2008,200803,9,3,2008,n,02/03/07,,"insert into Date_Dimension values(20080302, '2008-3-2',7, 2, 62, 'Sunday', 'Sun', 'n', 9, 9, '2008-2-25', 20080225, 3, 3, 'March', 'Mar', 1, 2008, 200803, 9, 3, 2008, 'n', '2007-3-2')"
20080303,03/03/08,1,3,63,Monday,Mon,y,10,10,03/03/08,20080303,3,3,March,Mar,1,2008,200803,9,3,2008,n,03/03/07,,"insert into Date_Dimension values(20080303, '2008-3-3',1, 3, 63, 'Monday', 'Mon', 'y', 10, 10, '2008-3-3', 20080303, 3, 3, 'March', 'Mar', 1, 2008, 200803, 9, 3, 2008, 'n', '2007-3-3')"
20080304,04/03/08,2,4,64,Tuesday,Tue,y,10,10,03/03/08,20080303,3,3,March,Mar,1,2008,200803,9,3,2008,n,04/03/07,,"insert into Date_Dimension values(20080304, '2008-3-4',2, 4, 64, 'Tuesday', 'Tue', 'y', 10, 10, '2008-3-3', 20080303, 3, 3, 'March', 'Mar', 1, 2008, 200803, 9, 3, 2008, 'n', '2007-3-4')"
20080305,05/03/08,3,5,65,Wednesday,Wed,y,10,10,03/03/08,20080303,3,3,March,Mar,1,2008,200803,9,3,2008,n,05/03/07,,"insert into Date_Dimension values(20080305, '2008-3-5',3, 5, 65, 'Wednesday', 'Wed', 'y', 10, 10, '2008-3-3', 20080303, 3, 3, 'March', 'Mar', 1, 2008, 200803, 9, 3, 2008, 'n', '2007-3-5')"
20080306,06/03/08,4,6,66,Thursday,Thu,y,10,10,03/03/08,20080303,3,3,March,Mar,1,2008,200803,9,3,2008,n,06/03/07,,"insert into Date_Dimension values(20080306, '2008-3-6',4, 6, 66, 'Thursday', 'Thu', 'y', 10, 10, '2008-3-3', 20080303, 3, 3, 'March', 'Mar', 1, 2008, 200803, 9, 3, 2008, 'n', '2007-3-6')"
20080307,07/03/08,5,7,67,Friday,Fri,y,10,10,03/03/08,20080303,3,3,March,Mar,1,2008,200803,9,3,2008,n,07/03/07,,"insert into Date_Dimension values(20080307, '2008-3-7',5, 7, 67, 'Friday', 'Fri', 'y', 10, 10, '2008-3-3', 20080303, 3, 3, 'March', 'Mar', 1, 2008, 200803, 9, 3, 2008, 'n', '2007-3-7')"
20080308,08/03/08,6,8,68,Saturday,Sat,n,10,10,03/03/08,20080303,3,3,March,Mar,1,2008,200803,9,3,2008,n,08/03/07,,"insert into Date_Dimension values(20080308, '2008-3-8',6, 8, 68, 'Saturday', 'Sat', 'n', 10, 10, '2008-3-3', 20080303, 3, 3, 'March', 'Mar', 1, 2008, 200803, 9, 3, 2008, 'n', '2007-3-8')"
20080309,09/03/08,7,9,69,Sunday,Sun,n,10,10,03/03/08,20080303,3,3,March,Mar,1,2008,200803,9,3,2008,n,09/03/07,,"insert into Date_Dimension values(20080309, '2008-3-9',7, 9, 69, 'Sunday', 'Sun', 'n', 10, 10, '2008-3-3', 20080303, 3, 3, 'March', 'Mar', 1, 2008, 200803, 9, 3, 2008, 'n', '2007-3-9')"
20080310,10/03/08,1,10,70,Monday,Mon,y,11,11,10/03/08,20080310,3,3,March,Mar,1,2008,200803,9,3,2008,n,10/03/07,,"insert into Date_Dimension values(20080310, '2008-3-10',1, 10, 70, 'Monday', 'Mon', 'y', 11, 11, '2008-3-10', 20080310, 3, 3, 'March', 'Mar', 1, 2008, 200803, 9, 3, 2008, 'n', '2007-3-10')"
